Size,Type,Time
653117,Parallel,0.390405
598653,Sequential,0.143415
898868,Built-in,0.239849
57955,Parallel,0.289096
430781,Built-in,0.108786
902715,Parallel,0.465025
632157,Sequential,0.148750
693213,Sequential,0.166223
215356,Parallel,0.284401
561942,Sequential,0.130798
589,Parallel,0.091285
648621,Parallel,0.383320
623686,Sequential,0.146496
868601,Sequential,0.211330
241825,Parallel,0.264380
740075,Sequential,0.175153
668441,Sequential,0.171710
740075,Parallel,0.370264
20691,Parallel,0.305944
328997,Sequential,0.073431
676884,Built-in,0.175931
468381,Built-in,0.119355
764505,Built-in,0.201299
208154,Sequential,0.045259
275367,Built-in,0.069417
101463,Built-in,0.022677
430781,Parallel,0.324620
610082,Sequential,0.155514
632157,Parallel,0.365355
354183,Sequential,0.080372
73146,Parallel,0.272514
764505,Parallel,0.368853
131059,Built-in,0.033496
254874,Built-in,0.062554
234566,Built-in,0.058185
338245,Parallel,0.326451
764505,Sequential,0.184289
898868,Parallel,0.469301
589,Sequential,0.000210
539638,Built-in,0.139820
197433,Built-in,0.049528
408832,Built-in,0.102148
683534,Sequential,0.162012
131059,Parallel,0.366032
756081,Parallel,0.409289
386723,Sequential,0.088693
520039,Built-in,0.132858
57955,Sequential,0.016888
740075,Built-in,0.191409
756081,Sequential,0.179145
