Size,Type,Time
712551,Parallel,0.358567
95088,Parallel,0.275248
430781,Sequential,0.108641
500441,Parallel,0.267522
723611,Parallel,0.365698
693213,Parallel,0.366459
937829,Parallel,0.448403
991599,Built-in,0.265297
500441,Sequential,0.116584
813284,Sequential,0.199062
478853,Sequential,0.112955
705015,Sequential,0.165601
169946,Sequential,0.039016
632157,Built-in,0.165409
802915,Built-in,0.212885
145480,Built-in,0.037900
177833,Sequential,0.038424
902715,Sequential,0.211497
43834,Parallel,0.247287
117563,Parallel,0.225140
859621,Sequential,0.211185
946636,Sequential,0.237582
468381,Sequential,0.121727
33315,Sequential,0.006414
733191,Built-in,0.193579
73146,Sequential,0.021047
683534,Built-in,0.179119
101463,Parallel,0.314496
723611,Built-in,0.190544
457394,Built-in,0.116853
177833,Parallel,0.274292
885773,Built-in,0.231780
396346,Built-in,0.095589
427538,Parallel,0.340626
371716,Parallel,0.242457
43834,Sequential,0.009000
73146,Built-in,0.019254
833839,Built-in,0.222882
876829,Built-in,0.234607
512669,Parallel,0.331077
152995,Parallel,0.269771
306029,Parallel,0.231954
989248,Built-in,0.264956
427538,Built-in,0.108425
186039,Sequential,0.042847
885773,Sequential,0.221778
970988,Built-in,0.259945
924461,Built-in,0.247583
491520,Built-in,0.125406
705015,Parallel,0.338077
902715,Built-in,0.241148
57955,Built-in,0.018927
312722,Built-in,0.077118
967540,Built-in,0.266874
484994,Built-in,0.122952
989248,Parallel,0.473987
550375,Parallel,0.305626
733191,Sequential,0.175190
561942,Built-in,0.143227
457394,Parallel,0.293624
484994,Parallel,0.308318
208154,Built-in,0.049190
924461,Parallel,0.454275
328997,Parallel,0.324361
396346,Parallel,0.327914
885773,Parallel,0.464692
208154,Parallel,0.220227
937829,Built-in,0.245071
478853,Parallel,0.297663
478853,Built-in,0.119895
561942,Parallel,0.364672
338245,Sequential,0.077942
539638,Sequential,0.126822
101463,Sequential,0.026039
85073,Parallel,0.301156
813284,Parallel,0.421706
520039,Parallel,0.321757
443645,Built-in,0.112513
946636,Built-in,0.254620
859621,Built-in,0.228290
386723,Parallel,0.277283
604734,Sequential,0.145240
653117,Built-in,0.168726
254874,Sequential,0.061059
95088,Built-in,0.026846
653117,Sequential,0.153109
491520,Sequential,0.114669
443645,Parallel,0.308009
623686,Parallel,0.377211
234566,Parallel,0.231740
491520,Parallel,0.283564
712551,Sequential,0.170134
952322,Sequential,0.228770
62712,Built-in,0.013463
186039,Built-in,0.046505
589559,Parallel,0.348016
589559,Built-in,0.148814
520039,Sequential,0.124207
676884,Sequential,0.161594
263210,Parallel,0.217954
418075,Parallel,0.391678
12382,Parallel,0.230558
241825,Sequential,0.057840
668441,Built-in,0.175367
152995,Built-in,0.038208
579311,Sequential,0.135191
386723,Built-in,0.097857
131059,Sequential,0.028030
952322,Built-in,0.252398
306029,Sequential,0.075638
62712,Parallel,0.300961
12382,Sequential,0.006259
917312,Built-in,0.247919
970988,Sequential,0.261063
604734,Parallel,0.377016
579311,Built-in,0.149453
223338,Built-in,0.055971
693213,Built-in,0.180273
623686,Built-in,0.163263
124025,Sequential,0.025742
145480,Sequential,0.034484
186039,Parallel,0.270515
648621,Built-in,0.179963
290091,Parallel,0.251463
546513,Parallel,0.357263
780444,Built-in,0.205391
43834,Built-in,0.015334
484994,Sequential,0.110021
712551,Built-in,0.186862
408832,Parallel,0.261827
648621,Sequential,0.158552
290091,Built-in,0.072273
589,Built-in,0.000115
366408,Built-in,0.103566
338245,Built-in,0.085703
223338,Sequential,0.049229
457394,Sequential,0.110889
427538,Sequential,0.101222
145480,Parallel,0.346435
33315,Built-in,0.012567
396346,Sequential,0.092365
802915,Sequential,0.196539
20691,Built-in,0.009348
85073,Sequential,0.021515
924461,Sequential,0.237514
546513,Built-in,0.141304
828457,Sequential,0.202568
371716,Built-in,0.094364
95088,Sequential,0.020089
859621,Parallel,0.445338
970988,Parallel,0.494544
579311,Parallel,0.331228
828457,Built-in,0.218614
989248,Sequential,0.241863
85073,Built-in,0.023953
676884,Parallel,0.359516
813284,Built-in,0.214665
275367,Parallel,0.258097
733191,Parallel,0.388563
468381,Parallel,0.289552
328997,Built-in,0.082184
418075,Built-in,0.104744
288140,Built-in,0.073065
937829,Sequential,0.236013
197433,Sequential,0.041719
876829,Sequential,0.215498
117563,Sequential,0.030009
828457,Parallel,0.409730
169946,Built-in,0.042337
868601,Built-in,0.228941
610082,Parallel,0.419099
546513,Sequential,0.125368
366408,Sequential,0.085860
604734,Built-in,0.157049
500441,Built-in,0.126409
306029,Built-in,0.075899
794978,Parallel,0.452486
288140,Sequential,0.066969
290091,Sequential,0.066464
610082,Built-in,0.155530
598653,Built-in,0.155308
124025,Built-in,0.031428
348991,Built-in,0.087439
288140,Parallel,0.277508
776707,Parallel,0.415070
366408,Parallel,0.300087
312722,Sequential,0.070962
354183,Built-in,0.106176
312722,Parallel,0.304789
723611,Sequential,0.174869
843610,Built-in,0.225414
868601,Parallel,0.469755
20691,Sequential,0.008409
169946,Parallel,0.281861
12382,Built-in,0.006572
589559,Sequential,0.139452
62712,Sequential,0.019737
991599,Sequential,0.260299
776707,Built-in,0.202687
967540,Parallel,0.518988
833839,Sequential,0.200408
705015,Built-in,0.185696
952322,Parallel,0.548001
234566,Sequential,0.052347
550375,Sequential,0.128862
794978,Built-in,0.208660
348991,Parallel,0.284243
354183,Parallel,0.268842
254874,Parallel,0.262813
833839,Parallel,0.430009
991599,Parallel,0.494582
876829,Parallel,0.445489
780444,Parallel,0.367228
418075,Sequential,0.097422
117563,Built-in,0.032029
215356,Sequential,0.050057
223338,Parallel,0.265972
917312,Parallel,0.455608
241825,Built-in,0.057790
371716,Sequential,0.087624
780444,Sequential,0.178158
443645,Sequential,0.099111
550375,Built-in,0.138121
598653,Parallel,0.356636
946636,Parallel,0.489648
263210,Built-in,0.062560
177833,Built-in,0.044451
275367,Sequential,0.062571
683534,Parallel,0.448313
794978,Sequential,0.214102
152995,Sequential,0.036052
348991,Sequential,0.080806
408832,Sequential,0.095288
898868,Sequential,0.239157
215356,Built-in,0.053560
512669,Sequential,0.120996
668441,Parallel,0.383889
512669,Built-in,0.130716
263210,Sequential,0.060319
33315,Parallel,0.224847
124025,Parallel,0.263340
843610,Parallel,0.427401
756081,Built-in,0.197260
967540,Sequential,0.236283
776707,Sequential,0.188195
917312,Sequential,0.222711
539638,Parallel,0.293627
802915,Parallel,0.364946
843610,Sequential,0.204104
197433,Parallel,0.186309
