Size,Type,Time
117563,Built-in,0.029126
215356,Sequential,0.047168
223338,Parallel,0.256465
917312,Parallel,0.525306
241825,Built-in,0.060171
371716,Sequential,0.085977
780444,Sequential,0.186404
443645,Sequential,0.101689
550375,Built-in,0.140577
598653,Parallel,0.390729
946636,Parallel,0.453143
263210,Built-in,0.065276
177833,Built-in,0.043206
275367,Sequential,0.063831
683534,Parallel,0.350077
794978,Sequential,0.194977
152995,Sequential,0.036462
348991,Sequential,0.078867
408832,Sequential,0.097109
898868,Sequential,0.225101
215356,Built-in,0.055028
512669,Sequential,0.121836
668441,Parallel,0.343916
512669,Built-in,0.130368
263210,Sequential,0.061230
33315,Parallel,0.225312
124025,Parallel,0.181823
843610,Parallel,0.429354
756081,Built-in,0.197081
967540,Sequential,0.239374
776707,Sequential,0.185243
917312,Sequential,0.222306
539638,Parallel,0.364448
802915,Parallel,0.465563
843610,Sequential,0.196924
197433,Parallel,0.254045
653117,Parallel,0.396861
598653,Sequential,0.141188
898868,Built-in,0.237969
57955,Parallel,0.317881
430781,Built-in,0.110650
902715,Parallel,0.460251
632157,Sequential,0.149714
693213,Sequential,0.162052
215356,Parallel,0.218289
561942,Sequential,0.128530
589,Parallel,0.094336
648621,Parallel,0.336971
623686,Sequential,0.150017
868601,Sequential,0.211175
241825,Parallel,0.273780
740075,Sequential,0.177603
668441,Sequential,0.167758
740075,Parallel,0.416895
20691,Parallel,0.237119
328997,Sequential,0.074257
676884,Built-in,0.189868
468381,Built-in,0.120405
764505,Built-in,0.200100
208154,Sequential,0.045839
275367,Built-in,0.070272
101463,Built-in,0.027275
430781,Parallel,0.356166
610082,Sequential,0.144554
632157,Parallel,0.359283
354183,Sequential,0.081276
73146,Parallel,0.324350
764505,Parallel,0.342491
131059,Built-in,0.030807
254874,Built-in,0.063564
234566,Built-in,0.055980
338245,Parallel,0.263718
764505,Sequential,0.181100
898868,Parallel,0.387915
589,Sequential,0.000219
539638,Built-in,0.138321
197433,Built-in,0.049258
408832,Built-in,0.101749
683534,Sequential,0.162994
131059,Parallel,0.183967
756081,Parallel,0.374782
386723,Sequential,0.088972
520039,Built-in,0.133513
57955,Sequential,0.017270
740075,Built-in,0.194494
756081,Sequential,0.183989
