Size,Type,Time
712551,Parallel,0.349309
95088,Parallel,0.270634
430781,Sequential,0.101248
500441,Parallel,0.260798
723611,Parallel,0.376618
693213,Parallel,0.396751
937829,Parallel,0.471867
991599,Built-in,0.267259
500441,Sequential,0.116480
813284,Sequential,0.197840
478853,Sequential,0.110777
705015,Sequential,0.165532
169946,Sequential,0.038162
632157,Built-in,0.164280
802915,Built-in,0.208163
145480,Built-in,0.036883
177833,Sequential,0.039598
902715,Sequential,0.226209
43834,Parallel,0.218896
117563,Parallel,0.263643
859621,Sequential,0.209763
946636,Sequential,0.239341
468381,Sequential,0.110783
33315,Sequential,0.011889
733191,Built-in,0.193840
73146,Sequential,0.019957
683534,Built-in,0.179802
101463,Parallel,0.258495
723611,Built-in,0.190728
457394,Built-in,0.116914
177833,Parallel,0.200620
885773,Built-in,0.236796
396346,Built-in,0.099032
427538,Parallel,0.212103
371716,Parallel,0.227664
43834,Sequential,0.009588
73146,Built-in,0.018784
833839,Built-in,0.222284
876829,Built-in,0.235579
512669,Parallel,0.285766
152995,Parallel,0.154120
306029,Parallel,0.175158
989248,Built-in,0.272259
427538,Built-in,0.109926
186039,Sequential,0.042630
885773,Sequential,0.218155
970988,Built-in,0.259973
924461,Built-in,0.246758
491520,Built-in,0.125881
705015,Parallel,0.302095
902715,Built-in,0.241662
57955,Built-in,0.018904
312722,Built-in,0.079541
967540,Built-in,0.258462
484994,Built-in,0.124310
989248,Parallel,0.433263
550375,Parallel,0.416003
733191,Sequential,0.175847
561942,Built-in,0.142957
457394,Parallel,0.328906
484994,Parallel,0.296648
208154,Built-in,0.050698
924461,Parallel,0.485418
328997,Parallel,0.259389
396346,Parallel,0.340278
885773,Parallel,0.506980
208154,Parallel,0.308747
937829,Built-in,0.250118
478853,Parallel,0.342411
478853,Built-in,0.121992
561942,Parallel,0.375175
338245,Sequential,0.079497
539638,Sequential,0.127860
101463,Sequential,0.025929
85073,Parallel,0.279185
813284,Parallel,0.440426
520039,Parallel,0.304009
443645,Built-in,0.122334
946636,Built-in,0.251891
859621,Built-in,0.227745
386723,Parallel,0.311018
604734,Sequential,0.145219
653117,Built-in,0.169735
254874,Sequential,0.057298
95088,Built-in,0.025564
653117,Sequential,0.156011
491520,Sequential,0.118033
443645,Parallel,0.266180
623686,Parallel,0.380809
234566,Parallel,0.256554
491520,Parallel,0.311640
712551,Sequential,0.172875
952322,Sequential,0.224977
62712,Built-in,0.021020
186039,Built-in,0.045162
589559,Parallel,0.387532
589559,Built-in,0.152213
520039,Sequential,0.121233
676884,Sequential,0.167119
263210,Parallel,0.299516
418075,Parallel,0.332681
12382,Parallel,0.262551
241825,Sequential,0.055982
668441,Built-in,0.174483
152995,Built-in,0.039269
579311,Sequential,0.135433
386723,Built-in,0.097865
131059,Sequential,0.031586
952322,Built-in,0.257111
306029,Sequential,0.070275
62712,Parallel,0.394518
12382,Sequential,0.005643
917312,Built-in,0.244195
970988,Sequential,0.240818
604734,Parallel,0.364955
579311,Built-in,0.150038
223338,Built-in,0.054599
693213,Built-in,0.180862
623686,Built-in,0.161631
124025,Sequential,0.029451
145480,Sequential,0.036111
186039,Parallel,0.254284
648621,Built-in,0.169996
290091,Parallel,0.267566
546513,Parallel,0.328401
780444,Built-in,0.206508
43834,Built-in,0.014645
484994,Sequential,0.114712
712551,Built-in,0.187075
408832,Parallel,0.285161
648621,Sequential,0.155401
290091,Built-in,0.072769
589,Built-in,0.000242
366408,Built-in,0.092585
338245,Built-in,0.086287
223338,Sequential,0.048900
457394,Sequential,0.111313
427538,Sequential,0.098066
145480,Parallel,0.244031
33315,Built-in,0.012801
396346,Sequential,0.092424
802915,Sequential,0.191693
20691,Built-in,0.008480
85073,Sequential,0.023783
924461,Sequential,0.223886
546513,Built-in,0.141082
828457,Sequential,0.198880
371716,Built-in,0.095141
95088,Sequential,0.023976
859621,Parallel,0.459029
970988,Parallel,0.508697
579311,Parallel,0.324424
828457,Built-in,0.216466
989248,Sequential,0.241693
85073,Built-in,0.024685
676884,Parallel,0.422221
813284,Built-in,0.215227
275367,Parallel,0.310297
733191,Parallel,0.403087
468381,Parallel,0.268570
328997,Built-in,0.082365
418075,Built-in,0.106109
288140,Built-in,0.072231
937829,Sequential,0.224179
197433,Sequential,0.044045
876829,Sequential,0.234749
117563,Sequential,0.028813
828457,Parallel,0.468339
169946,Built-in,0.042951
868601,Built-in,0.230683
610082,Parallel,0.412599
546513,Sequential,0.132757
366408,Sequential,0.084318
604734,Built-in,0.159051
500441,Built-in,0.126864
306029,Built-in,0.075842
794978,Parallel,0.390287
288140,Sequential,0.067210
290091,Sequential,0.068300
610082,Built-in,0.159231
598653,Built-in,0.168999
124025,Built-in,0.032450
348991,Built-in,0.087341
288140,Parallel,0.253825
776707,Parallel,0.401896
366408,Parallel,0.283926
312722,Sequential,0.071660
354183,Built-in,0.090640
312722,Parallel,0.297743
723611,Sequential,0.172729
843610,Built-in,0.225060
868601,Parallel,0.437104
20691,Sequential,0.006476
169946,Parallel,0.215881
12382,Built-in,0.006661
589559,Sequential,0.141949
62712,Sequential,0.018214
991599,Sequential,0.238354
776707,Built-in,0.204560
967540,Parallel,0.458733
833839,Sequential,0.201167
705015,Built-in,0.185487
952322,Parallel,0.524080
234566,Sequential,0.052940
550375,Sequential,0.130886
794978,Built-in,0.209433
348991,Parallel,0.268740
354183,Parallel,0.273550
254874,Parallel,0.264081
833839,Parallel,0.429543
991599,Parallel,0.485232
876829,Parallel,0.500614
780444,Parallel,0.464994
418075,Sequential,0.096169
117563,Built-in,0.039176
215356,Sequential,0.047666
223338,Parallel,0.246318
917312,Parallel,0.450050
241825,Built-in,0.060882
371716,Sequential,0.086691
780444,Sequential,0.189218
443645,Sequential,0.102624
550375,Built-in,0.143952
598653,Parallel,0.371335
946636,Parallel,0.454694
263210,Built-in,0.062958
177833,Built-in,0.044865
275367,Sequential,0.063472
683534,Parallel,0.369750
794978,Sequential,0.195772
152995,Sequential,0.035036
348991,Sequential,0.080021
408832,Sequential,0.094779
