Size,Type,Time
312722,Parallel,0.098887
723611,Sequential,0.151469
843610,Built-in,0.192563
868601,Parallel,0.234574
20691,Sequential,0.003050
169946,Parallel,0.057740
12382,Built-in,0.002876
589559,Sequential,0.129536
62712,Sequential,0.010373
991599,Sequential,0.206956
776707,Built-in,0.176434
967540,Parallel,0.268048
833839,Sequential,0.173518
705015,Built-in,0.155708
952322,Parallel,0.268153
234566,Sequential,0.046930
550375,Sequential,0.110072
794978,Built-in,0.180998
348991,Parallel,0.102902
354183,Parallel,0.102747
254874,Parallel,0.079475
833839,Parallel,0.229136
991599,Parallel,0.267999
876829,Parallel,0.237313
780444,Parallel,0.219701
418075,Sequential,0.081762
117563,Built-in,0.022412
215356,Sequential,0.042769
223338,Parallel,0.089010
917312,Parallel,0.259931
241825,Built-in,0.050816
371716,Sequential,0.074939
780444,Sequential,0.160277
443645,Sequential,0.086497
550375,Built-in,0.120495
598653,Parallel,0.171381
946636,Parallel,0.273229
263210,Built-in,0.059357
177833,Built-in,0.035432
275367,Sequential,0.052388
683534,Parallel,0.184186
794978,Sequential,0.160090
152995,Sequential,0.031632
348991,Sequential,0.067099
408832,Sequential,0.078853
898868,Sequential,0.185693
215356,Built-in,0.043632
512669,Sequential,0.106107
668441,Parallel,0.190126
512669,Built-in,0.112958
263210,Sequential,0.048526
33315,Parallel,0.029176
124025,Parallel,0.046808
843610,Parallel,0.240111
756081,Built-in,0.167377
967540,Sequential,0.204232
776707,Sequential,0.164096
917312,Sequential,0.198033
539638,Parallel,0.148268
802915,Parallel,0.228656
843610,Sequential,0.178919
197433,Parallel,0.060759
653117,Parallel,0.196931
598653,Sequential,0.125198
898868,Built-in,0.205839
57955,Parallel,0.026161
430781,Built-in,0.094097
902715,Parallel,0.248100
632157,Sequential,0.131425
693213,Sequential,0.139386
215356,Parallel,0.070740
561942,Sequential,0.113577
589,Parallel,0.010941
648621,Parallel,0.181881
623686,Sequential,0.127224
868601,Sequential,0.176732
241825,Parallel,0.078765
740075,Sequential,0.152948
668441,Sequential,0.141526
740075,Parallel,0.209941
20691,Parallel,0.039946
328997,Sequential,0.065225
676884,Built-in,0.153747
468381,Built-in,0.101039
764505,Built-in,0.174870
208154,Sequential,0.037965
275367,Built-in,0.060518
101463,Built-in,0.019281
430781,Parallel,0.123614
610082,Sequential,0.130504
632157,Parallel,0.179797
354183,Sequential,0.072126
73146,Parallel,0.040758
764505,Parallel,0.213056
131059,Built-in,0.025950
254874,Built-in,0.052814
234566,Built-in,0.051961
338245,Parallel,0.095049
764505,Sequential,0.157937
898868,Parallel,0.242644
589,Sequential,0.000069
539638,Built-in,0.118872
197433,Built-in,0.039636
408832,Built-in,0.092286
683534,Sequential,0.137140
131059,Parallel,0.089672
756081,Parallel,0.209752
386723,Sequential,0.074874
520039,Built-in,0.116871
57955,Sequential,0.009669
740075,Built-in,0.164683
756081,Sequential,0.159076
