Size,Type,Time
712551,Parallel,0.202333
95088,Parallel,0.037658
430781,Sequential,0.086692
500441,Parallel,0.148015
723611,Parallel,0.195099
693213,Parallel,0.197249
937829,Parallel,0.271565
991599,Built-in,0.255646
500441,Sequential,0.108613
813284,Sequential,0.186057
478853,Sequential,0.112661
705015,Sequential,0.145298
169946,Sequential,0.031734
632157,Built-in,0.144186
802915,Built-in,0.183006
145480,Built-in,0.028222
177833,Sequential,0.032742
902715,Sequential,0.186588
43834,Parallel,0.049369
117563,Parallel,0.045663
859621,Sequential,0.181298
946636,Sequential,0.196156
468381,Sequential,0.093425
33315,Sequential,0.005275
733191,Built-in,0.166135
73146,Sequential,0.012654
683534,Built-in,0.153137
101463,Parallel,0.049472
723611,Built-in,0.162297
457394,Built-in,0.098435
177833,Parallel,0.054863
885773,Built-in,0.203934
396346,Built-in,0.085475
427538,Parallel,0.127675
371716,Parallel,0.104852
43834,Sequential,0.008651
73146,Built-in,0.013516
833839,Built-in,0.185285
876829,Built-in,0.206874
512669,Parallel,0.153282
152995,Parallel,0.051626
306029,Parallel,0.121023
989248,Built-in,0.228325
427538,Built-in,0.089471
186039,Sequential,0.032751
885773,Sequential,0.183067
970988,Built-in,0.226148
924461,Built-in,0.211090
491520,Built-in,0.104844
705015,Parallel,0.188379
902715,Built-in,0.206318
57955,Built-in,0.010156
312722,Built-in,0.065597
967540,Built-in,0.222792
484994,Built-in,0.108870
989248,Parallel,0.261324
550375,Parallel,0.158788
733191,Sequential,0.149180
561942,Built-in,0.127558
457394,Parallel,0.130351
484994,Parallel,0.148373
208154,Built-in,0.042850
924461,Parallel,0.252897
328997,Parallel,0.098356
396346,Parallel,0.121438
885773,Parallel,0.239859
208154,Parallel,0.067142
937829,Built-in,0.210835
478853,Parallel,0.139277
478853,Built-in,0.106580
561942,Parallel,0.163772
338245,Sequential,0.068454
539638,Sequential,0.107738
101463,Sequential,0.017540
85073,Parallel,0.127895
813284,Parallel,0.224378
520039,Parallel,0.151364
443645,Built-in,0.100300
946636,Built-in,0.216819
859621,Built-in,0.193605
386723,Parallel,0.119175
604734,Sequential,0.123599
653117,Built-in,0.144532
254874,Sequential,0.049175
95088,Built-in,0.017526
653117,Sequential,0.138347
491520,Sequential,0.095932
443645,Parallel,0.128383
623686,Parallel,0.180466
234566,Parallel,0.071917
491520,Parallel,0.165005
712551,Sequential,0.143010
952322,Sequential,0.200621
62712,Built-in,0.011337
186039,Built-in,0.040414
589559,Parallel,0.169945
589559,Built-in,0.133021
520039,Sequential,0.104105
676884,Sequential,0.140846
263210,Parallel,0.078090
418075,Parallel,0.115793
12382,Parallel,0.023317
241825,Sequential,0.048935
668441,Built-in,0.151794
152995,Built-in,0.029865
579311,Sequential,0.113789
386723,Built-in,0.084627
131059,Sequential,0.022955
952322,Built-in,0.218709
306029,Sequential,0.059644
62712,Parallel,0.034743
12382,Sequential,0.002271
917312,Built-in,0.211143
970988,Sequential,0.205567
604734,Parallel,0.173450
579311,Built-in,0.127127
223338,Built-in,0.045183
693213,Built-in,0.155398
623686,Built-in,0.144537
124025,Sequential,0.022851
145480,Sequential,0.026317
186039,Parallel,0.061403
648621,Built-in,0.146797
290091,Parallel,0.087206
546513,Parallel,0.144024
780444,Built-in,0.177343
43834,Built-in,0.007712
484994,Sequential,0.096292
712551,Built-in,0.161536
408832,Parallel,0.118110
648621,Sequential,0.131570
290091,Built-in,0.059946
589,Built-in,0.000069
366408,Built-in,0.078008
338245,Built-in,0.073537
223338,Sequential,0.040022
457394,Sequential,0.088109
427538,Sequential,0.089493
145480,Parallel,0.048922
33315,Built-in,0.006508
396346,Sequential,0.078489
802915,Sequential,0.170191
20691,Built-in,0.003355
85073,Sequential,0.014685
924461,Sequential,0.194956
546513,Built-in,0.120713
828457,Sequential,0.169360
371716,Built-in,0.082345
95088,Sequential,0.017067
859621,Parallel,0.238201
970988,Parallel,0.256296
579311,Parallel,0.164322
828457,Built-in,0.187414
989248,Sequential,0.209933
85073,Built-in,0.015815
676884,Parallel,0.181626
813284,Built-in,0.185452
275367,Parallel,0.080988
733191,Parallel,0.200888
468381,Parallel,0.165928
328997,Built-in,0.071036
418075,Built-in,0.091411
288140,Built-in,0.060454
937829,Sequential,0.193286
197433,Sequential,0.036748
876829,Sequential,0.181453
117563,Sequential,0.021362
828457,Parallel,0.238907
169946,Built-in,0.033971
868601,Built-in,0.200478
610082,Parallel,0.168449
546513,Sequential,0.112712
366408,Sequential,0.070842
604734,Built-in,0.140970
500441,Built-in,0.107506
306029,Built-in,0.067560
794978,Parallel,0.206456
288140,Sequential,0.060091
290091,Sequential,0.054934
610082,Built-in,0.137541
598653,Built-in,0.130796
124025,Built-in,0.023822
348991,Built-in,0.077344
288140,Parallel,0.092358
776707,Parallel,0.225757
366408,Parallel,0.110629
312722,Sequential,0.064209
354183,Built-in,0.077985
