Size,Type,Time
215356,Sequential,0.042696
223338,Parallel,0.076452
917312,Parallel,0.244560
241825,Built-in,0.065111
371716,Sequential,0.086900
780444,Sequential,0.164758
443645,Sequential,0.085758
550375,Built-in,0.124599
598653,Parallel,0.177568
946636,Parallel,0.258459
263210,Built-in,0.056642
177833,Built-in,0.036737
275367,Sequential,0.058326
683534,Parallel,0.199128
794978,Sequential,0.168541
152995,Sequential,0.028665
348991,Sequential,0.071487
408832,Sequential,0.106674
898868,Sequential,0.215255
215356,Built-in,0.043797
512669,Sequential,0.107861
668441,Parallel,0.186326
512669,Built-in,0.123374
263210,Sequential,0.060274
33315,Parallel,0.041408
124025,Parallel,0.048196
843610,Parallel,0.241429
756081,Built-in,0.187736
967540,Sequential,0.208793
776707,Sequential,0.165977
917312,Sequential,0.211659
539638,Parallel,0.150738
802915,Parallel,0.234986
843610,Sequential,0.198692
197433,Parallel,0.067951
653117,Parallel,0.193115
598653,Sequential,0.139714
898868,Built-in,0.237066
57955,Parallel,0.037697
430781,Built-in,0.105413
902715,Parallel,0.248847
632157,Sequential,0.133748
693213,Sequential,0.159932
215356,Parallel,0.070109
561942,Sequential,0.112697
589,Parallel,0.010177
648621,Parallel,0.190040
623686,Sequential,0.142987
868601,Sequential,0.213748
241825,Parallel,0.069857
740075,Sequential,0.151596
668441,Sequential,0.159709
740075,Parallel,0.214463
20691,Parallel,0.052264
328997,Sequential,0.078382
676884,Built-in,0.164212
468381,Built-in,0.106349
764505,Built-in,0.177027
208154,Sequential,0.038747
275367,Built-in,0.059983
101463,Built-in,0.019515
430781,Parallel,0.120534
610082,Sequential,0.140021
632157,Parallel,0.175420
354183,Sequential,0.081121
73146,Parallel,0.043984
764505,Parallel,0.217467
131059,Built-in,0.027775
254874,Built-in,0.067335
234566,Built-in,0.050145
338245,Parallel,0.103102
764505,Sequential,0.172818
898868,Parallel,0.246266
589,Sequential,0.000080
539638,Built-in,0.147750
197433,Built-in,0.050081
408832,Built-in,0.092833
683534,Sequential,0.153746
131059,Parallel,0.054307
756081,Parallel,0.221731
386723,Sequential,0.080152
520039,Built-in,0.127008
57955,Sequential,0.009881
740075,Built-in,0.185878
756081,Sequential,0.180740
