Size,Type,Time
712551,Parallel,0.268414
95088,Parallel,0.060304
430781,Sequential,0.185050
500441,Parallel,0.185364
723611,Parallel,0.213794
693213,Parallel,0.192075
937829,Parallel,0.258711
991599,Built-in,0.312136
500441,Sequential,0.123389
813284,Sequential,0.211703
478853,Sequential,0.125772
705015,Sequential,0.166390
169946,Sequential,0.030899
632157,Built-in,0.152630
802915,Built-in,0.198373
145480,Built-in,0.030056
177833,Sequential,0.033977
902715,Sequential,0.204517
43834,Parallel,0.031603
117563,Parallel,0.043263
859621,Sequential,0.190664
946636,Sequential,0.212623
468381,Sequential,0.104282
33315,Sequential,0.006365
733191,Built-in,0.174122
73146,Sequential,0.016286
683534,Built-in,0.161024
101463,Parallel,0.040329
723611,Built-in,0.171675
457394,Built-in,0.102788
177833,Parallel,0.060401
885773,Built-in,0.217480
396346,Built-in,0.089399
427538,Parallel,0.126661
371716,Parallel,0.120689
43834,Sequential,0.012859
73146,Built-in,0.018172
833839,Built-in,0.218714
876829,Built-in,0.203447
512669,Parallel,0.151700
152995,Parallel,0.049659
306029,Parallel,0.092700
989248,Built-in,0.267757
427538,Built-in,0.095355
186039,Sequential,0.035696
885773,Sequential,0.199332
970988,Built-in,0.229626
924461,Built-in,0.218588
491520,Built-in,0.113037
705015,Parallel,0.199338
902715,Built-in,0.289401
57955,Built-in,0.016891
312722,Built-in,0.077841
967540,Built-in,0.300992
484994,Built-in,0.115087
989248,Parallel,0.283899
550375,Parallel,0.160782
733191,Sequential,0.235057
561942,Built-in,0.135106
457394,Parallel,0.139318
484994,Parallel,0.155345
208154,Built-in,0.044329
924461,Parallel,0.258116
328997,Parallel,0.102180
396346,Parallel,0.115677
885773,Parallel,0.255283
208154,Parallel,0.094914
937829,Built-in,0.355856
478853,Parallel,0.147159
478853,Built-in,0.135138
561942,Parallel,0.181474
338245,Sequential,0.114686
539638,Sequential,0.221575
101463,Sequential,0.021355
85073,Parallel,0.051549
813284,Parallel,0.232696
520039,Parallel,0.148051
443645,Built-in,0.107751
946636,Built-in,0.242015
859621,Built-in,0.236268
386723,Parallel,0.110194
604734,Sequential,0.124156
653117,Built-in,0.153968
254874,Sequential,0.048120
95088,Built-in,0.018193
653117,Sequential,0.140152
491520,Sequential,0.178369
443645,Parallel,0.130689
623686,Parallel,0.169028
234566,Parallel,0.071410
491520,Parallel,0.131355
712551,Sequential,0.197077
952322,Sequential,0.241011
62712,Built-in,0.019242
186039,Built-in,0.061035
589559,Parallel,0.181070
589559,Built-in,0.158406
520039,Sequential,0.168293
676884,Sequential,0.173140
263210,Parallel,0.087363
418075,Parallel,0.165485
12382,Parallel,0.055709
241825,Sequential,0.078990
668441,Built-in,0.159478
152995,Built-in,0.030825
579311,Sequential,0.158367
386723,Built-in,0.083377
131059,Sequential,0.024677
952322,Built-in,0.218148
306029,Sequential,0.064408
62712,Parallel,0.157505
12382,Sequential,0.002177
917312,Built-in,0.213638
970988,Sequential,0.282566
604734,Parallel,0.196484
579311,Built-in,0.202711
223338,Built-in,0.068866
693213,Built-in,0.173248
623686,Built-in,0.179318
124025,Sequential,0.033243
145480,Sequential,0.040763
186039,Parallel,0.078122
648621,Built-in,0.228665
290091,Parallel,0.104489
546513,Parallel,0.175344
780444,Built-in,0.184397
43834,Built-in,0.007951
484994,Sequential,0.114582
712551,Built-in,0.233751
408832,Parallel,0.120906
648621,Sequential,0.135116
290091,Built-in,0.064606
589,Built-in,0.000068
366408,Built-in,0.082383
338245,Built-in,0.073905
223338,Sequential,0.046655
457394,Sequential,0.094466
427538,Sequential,0.084871
145480,Parallel,0.050679
33315,Built-in,0.005998
396346,Sequential,0.078179
802915,Sequential,0.177375
20691,Built-in,0.003494
85073,Sequential,0.016098
924461,Sequential,0.194095
546513,Built-in,0.119685
828457,Sequential,0.185213
371716,Built-in,0.092158
95088,Sequential,0.022057
859621,Parallel,0.233907
970988,Parallel,0.275749
579311,Parallel,0.182872
828457,Built-in,0.211130
989248,Sequential,0.215506
85073,Built-in,0.016310
676884,Parallel,0.191865
813284,Built-in,0.196816
275367,Parallel,0.084795
733191,Parallel,0.201386
468381,Parallel,0.133354
328997,Built-in,0.073934
418075,Built-in,0.100445
288140,Built-in,0.063339
937829,Sequential,0.233821
197433,Sequential,0.036801
876829,Sequential,0.186522
117563,Sequential,0.021152
828457,Parallel,0.234912
169946,Built-in,0.045947
868601,Built-in,0.204766
610082,Parallel,0.174296
546513,Sequential,0.115050
366408,Sequential,0.074615
604734,Built-in,0.136243
500441,Built-in,0.113022
306029,Built-in,0.068711
794978,Parallel,0.234133
288140,Sequential,0.057536
290091,Sequential,0.064102
610082,Built-in,0.135355
598653,Built-in,0.140419
124025,Built-in,0.023646
348991,Built-in,0.073730
288140,Parallel,0.093506
776707,Parallel,0.224449
366408,Parallel,0.114549
312722,Sequential,0.061474
354183,Built-in,0.078720
312722,Parallel,0.093422
723611,Sequential,0.156951
843610,Built-in,0.198463
868601,Parallel,0.241083
20691,Sequential,0.003412
169946,Parallel,0.058262
12382,Built-in,0.002323
589559,Sequential,0.127285
62712,Sequential,0.010583
991599,Sequential,0.209768
776707,Built-in,0.176190
967540,Parallel,0.271547
833839,Sequential,0.170217
705015,Built-in,0.162453
952322,Parallel,0.239501
234566,Sequential,0.045084
550375,Sequential,0.112165
794978,Built-in,0.180695
348991,Parallel,0.108809
354183,Parallel,0.109247
254874,Parallel,0.084279
833839,Parallel,0.225280
991599,Parallel,0.274381
876829,Parallel,0.227262
780444,Parallel,0.210928
418075,Sequential,0.082142
117563,Built-in,0.024879
